battery,total_rows,start_time_missing,start_time_missing_pct,time_missing,time_missing_pct,mode_missing,mode_missing_pct,voltage_charger_missing,voltage_charger_missing_pct,temperature_battery_missing,temperature_battery_missing_pct,voltage_load_missing,voltage_load_missing_pct,current_load_missing,current_load_missing_pct,temperature_mosfet_missing,temperature_mosfet_missing_pct,temperature_resistor_missing,temperature_resistor_missing_pct,mission_type_missing,mission_type_missing_pct
regular_alt_batteries/battery00.csv,1101244,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,995238,90.37,995238,90.37,995238,90.37,995238,90.37,995238,90.37
regular_alt_batteries/battery01.csv,4918193,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4169225,84.77,4169225,84.77,4169225,84.77,4169225,84.77,4169225,84.77
regular_alt_batteries/battery10.csv,907341,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,817497,90.1,817497,90.1,817497,90.1,817497,90.1,817497,90.1
regular_alt_batteries/battery11.csv,4914864,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4155142,84.54,4155142,84.54,4155142,84.54,4155142,84.54,4155142,84.54
regular_alt_batteries/battery20.csv,207391,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,188464,90.87,188464,90.87,188464,90.87,188464,90.87,188464,90.87
regular_alt_batteries/battery21.csv,530718,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,484038,91.2,484038,91.2,484038,91.2,484038,91.2,484038,91.2
regular_alt_batteries/battery22.csv,2690545,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2377922,88.38,2377922,88.38,2377922,88.38,2377922,88.38,2377922,88.38
regular_alt_batteries/battery23.csv,1344130,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1183529,88.05,1183529,88.05,1183529,88.05,1183529,88.05,1183529,88.05
regular_alt_batteries/battery30.csv,597316,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,551645,92.35,551645,92.35,551645,92.35,551645,92.35,551645,92.35
regular_alt_batteries/battery31.csv,3341603,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2959766,88.57,2959766,88.57,2959766,88.57,2959766,88.57,2959766,88.57
regular_alt_batteries/battery40.csv,753257,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,690875,91.72,690875,91.72,690875,91.72,690875,91.72,690875,91.72
regular_alt_batteries/battery41.csv,2926443,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2667820,91.16,2667820,91.16,2667820,91.16,2667820,91.16,2667820,91.16
regular_alt_batteries/battery50.csv,791869,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,713696,90.13,713696,90.13,713696,90.13,713696,90.13,713696,90.13
regular_alt_batteries/battery51.csv,1822787,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1625919,89.2,1625919,89.2,1625919,89.2,1625919,89.2,1625919,89.2
regular_alt_batteries/battery52.csv,1510563,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1338153,88.59,1338153,88.59,1338153,88.59,1338153,88.59,1338153,88.59
recommissioned_batteries/battery02.csv,2069667,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1809105,87.41,1809105,87.41,1809105,87.41,1809105,87.41,1809105,87.41
recommissioned_batteries/battery03.csv,2161444,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1818117,84.12,1818117,84.12,1818117,84.12,1818117,84.12,1818117,84.12
recommissioned_batteries/battery12.csv,3041084,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2550399,83.86,2550399,83.86,2550399,83.86,2550399,83.86,2550399,83.86
recommissioned_batteries/battery24.csv,3285619,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2795858,85.09,2795858,85.09,2795858,85.09,2795858,85.09,2795858,85.09
recommissioned_batteries/battery25.csv,2169910,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1828106,84.25,1828106,84.25,1828106,84.25,1828106,84.25,1828106,84.25
recommissioned_batteries/battery32.csv,1829938,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1616725,88.35,1616725,88.35,1616725,88.35,1616725,88.35,1616725,88.35
recommissioned_batteries/battery33.csv,2353426,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2056841,87.4,2056841,87.4,2056841,87.4,2056841,87.4,2056841,87.4
recommissioned_batteries/battery53.csv,1139972,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1002812,87.97,1002812,87.97,1002812,87.97,1002812,87.97,1002812,87.97
second_life_batteries/battery13.csv,1736149,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1495910,86.16,1495910,86.16,1495910,86.16,1495910,86.16,1495910,86.16
second_life_batteries/battery36.csv,3394365,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2764227,81.44,2764227,81.44,2764227,81.44,2764227,81.44,2764227,81.44
second_life_batteries/battery54.csv,1989458,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1510252,75.91,1510252,75.91,1510252,75.91,1510252,75.91,1510252,75.91
